published_at,pack,topic,video_id,duration_seconds,phrase_count,privacy,title
2026-09-20T05:00:00Z,sleep_japanese,,oCzTe3AnPt0,,150,private,자기 전 일본어 150문장
2026-09-20T06:22:17Z,sleep_japanese,,c3ILdxmebUQ,2100.0,150,private,자기 전 일본어 150문장
2026-09-20T06:54:54Z,sleep_japanese,,oLnmwfjau78,,150,private,자기 전 일본어 150문장
2026-09-20T07:11:23Z,situation_pack,여행·교통,ozeCkOlXdAA,726.0,30,public,상황별 일본어 여행·교통 30문장
2026-09-20T07:19:41Z,situation_pack,식당·쇼핑,3XSfm-A1QWM,660.0,30,public,상황별 일본어 식당·쇼핑 30문장
2026-09-22T16:43:31Z,situation_pack,숙박·문제 해결,W3pYFPLohC8,739.85,30,public,숙박·문제 해결 일본어 회화 표현 30개 | 상황별 일본어 12분
2026-09-24T16:23:00Z,shadowing_drill,,HVFYpHrCmoQ,1230.2,45,public,일본어 쉐도잉 연습 45문장 | 따라 말하기 21분
2026-09-25T01:06:00Z,shorts,인사·기본,70RC-E_OI-0,9.06,1,public,'좋은 아침입니다' 일본어로? おはようございます。 #shorts
2026-09-25T08:58:20Z,shorts,인사·기본,BmtugA1wQac,8.83,1,public,'안녕하세요 (낮 인사)' 일본어로? こんにちは。 #shorts
2026-09-25T14:59:55Z,shorts,인사·기본,meGLN_2IPaE,8.64,1,public,'안녕하세요 (저녁 인사)' 일본어로? こんばんは。 #shorts
2026-09-25T17:05:53Z,sleep_japanese,,ky9HsvFM9aA,2156.35,150,public,잠들기 전 일본어 듣기 36분 | 자면서 듣는 일본어 회화 150문장
2026-09-26T01:07:08Z,shorts,인사·기본,L0JXfivlIvE,9.48,1,public,'감사합니다' 일본어로? ありがとうございます。 #shorts
2026-09-26T08:44:27Z,shorts,인사·기본,xY0EyI6q2q8,8.41,1,public,'죄송합니다 / 저기요' 일본어로? すみません。 #shorts
2026-09-26T14:07:18Z,shorts,인사·기본,6ElQjdD1cIc,8.46,1,public,'처음 뵙겠습니다' 일본어로? はじめまして。 #shorts
